channel,file
DAPI,example_data/smFISH_mouse/67_DAPI_Fingerprint_405laser1.czi
Opal520,example_data/smFISH_mouse/69_Opal520_Fingerprint_488laser20.0.czi
Opal570,example_data/smFISH_mouse/68_Opal570_Fingerprint_561laser1.0.czi
Opal620,example_data/smFISH_mouse/70_Opal620_Fingerprint_561laser10.czi
Opal690,example_data/smFISH_mouse/71_Opal690_Fingerprint_633laser30.czi
